epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
96,0.020934,0.026566,0.858919,0.091076,0.132817,0.00055593
97,0.021084,0.032516,0.840832,0.101501,0.141073,0.00055001
98,0.021051,0.027289,0.854169,0.089526,0.135034,0.00054396
99,0.020990,0.026078,0.864979,0.087977,0.129933,0.00053781
100,0.020910,0.028311,0.843895,0.094156,0.139710,0.00053159
101,0.021037,0.028775,0.852987,0.091367,0.135580,0.00052528
102,0.020835,0.027349,0.851453,0.090826,0.136286,0.00051890
103,0.020835,0.026333,0.862788,0.090091,0.130983,0.00051244
104,0.020855,0.027787,0.845728,0.093626,0.138887,0.00050591
105,0.020790,0.029550,0.845849,0.092637,0.138832,0.00049931
106,0.020711,0.027567,0.849235,0.091895,0.137299,0.00049265
107,0.020684,0.026456,0.863073,0.087631,0.130847,0.00048593
108,0.020770,0.027413,0.858472,0.088283,0.133027,0.00047914
109,0.020657,0.026343,0.858760,0.088114,0.132891,0.00047230
110,0.020749,0.026516,0.863361,0.087677,0.130709,0.00046541
111,0.020695,0.027569,0.857662,0.089417,0.133407,0.00045846
112,0.020733,0.026479,0.859343,0.089291,0.132617,0.00045147
113,0.020531,0.027214,0.846762,0.096983,0.138421,0.00044443
114,0.020690,0.027081,0.849474,0.093078,0.137190,0.00043742
115,0.020591,0.028240,0.847155,0.091299,0.138243,0.00043030
116,0.020669,0.027161,0.860714,0.087998,0.131969,0.00042315
117,0.020654,0.026434,0.862565,0.087345,0.131089,0.00041596
118,0.020692,0.026612,0.855126,0.090841,0.134590,0.00040875
119,0.020649,0.028151,0.855849,0.089634,0.134254,0.00040151
120,0.020528,0.025754,0.862075,0.088736,0.131323,0.00039425
121,0.020535,0.026806,0.852371,0.090609,0.135864,0.00038697
122,0.020638,0.026117,0.857906,0.089694,0.133292,0.00037967
123,0.020614,0.027168,0.855363,0.088463,0.134480,0.00037236
124,0.020429,0.027010,0.853573,0.090159,0.135310,0.00036504
125,0.020629,0.026906,0.860538,0.087951,0.132052,0.00035772
126,0.020450,0.028363,0.852653,0.090508,0.135734,0.00035039
127,0.020460,0.027289,0.852001,0.090694,0.136034,0.00034306
128,0.020538,0.026841,0.853879,0.090657,0.135168,0.00033573
129,0.020398,0.027140,0.857287,0.089593,0.133583,0.00032841
130,0.020572,0.027036,0.852334,0.090650,0.135881,0.00032110
131,0.020345,0.026084,0.858114,0.089115,0.133195,0.00031380
132,0.020485,0.026674,0.854328,0.089861,0.134960,0.00030652
