epoch,train_loss,val_loss,val_mae,val_rmse,learning_rate
114,0.063963,0.061648,0.183119,0.233650,0.00052229
115,0.064151,0.063429,0.190897,0.239727,0.00049609
116,0.063980,0.061967,0.183220,0.232229,0.00047042
117,0.064015,0.061632,0.183064,0.233280,0.00044532
118,0.063712,0.061155,0.182258,0.233170,0.00042079
119,0.063810,0.061346,0.183108,0.232076,0.00039684
120,0.063684,0.061632,0.182570,0.231581,0.00037349
121,0.063834,0.061471,0.184506,0.234553,0.00035075
122,0.063753,0.062286,0.187799,0.236269,0.00032863
123,0.063636,0.061189,0.184657,0.233046,0.00030714
124,0.063452,0.061283,0.182621,0.231887,0.00028631
125,0.063434,0.061580,0.187085,0.235444,0.00026612
126,0.063428,0.061589,0.181788,0.231414,0.00024661
127,0.063376,0.061536,0.186090,0.235556,0.00022778
128,0.063308,0.060856,0.184127,0.232773,0.00020963
129,0.063285,0.060706,0.183090,0.232604,0.00019218
130,0.063219,0.061082,0.184122,0.232728,0.00017545
131,0.063206,0.060476,0.180699,0.230946,0.00015943
132,0.063241,0.061227,0.185466,0.233471,0.00014413
133,0.063071,0.060583,0.181592,0.230640,0.00012957
134,0.062984,0.060440,0.181801,0.231266,0.00011575
135,0.062972,0.060685,0.183849,0.233351,0.00010268
136,0.062945,0.060445,0.182687,0.231865,0.00009037
137,0.062848,0.060348,0.182170,0.231241,0.00007882
138,0.062894,0.060504,0.182819,0.231470,0.00006804
139,0.062856,0.060300,0.181919,0.231089,0.00005803
140,0.062742,0.060268,0.181690,0.230907,0.00004881
141,0.062805,0.060267,0.182197,0.231177,0.00004037
142,0.062840,0.060257,0.181375,0.230658,0.00003273
143,0.062743,0.060352,0.182275,0.231153,0.00002587
144,0.062703,0.060271,0.182169,0.231047,0.00001982
145,0.062707,0.060326,0.182045,0.231043,0.00001457
146,0.062663,0.060247,0.182030,0.231018,0.00001012
147,0.062711,0.060331,0.182233,0.231103,0.00000648
148,0.062603,0.060255,0.182009,0.230936,0.00000364
149,0.062633,0.060239,0.182360,0.231503,0.00000162
150,0.062686,0.060203,0.181869,0.231019,0.00000041
