layer,source_category,mean_attention,std_attention,n_edges
0,Buried,0.29193714,0.2986618,139649
0,Intermediate,0.40465376,0.33759704,95862
0,Exposed,0.476154,0.3375306,63350
1,Buried,0.29193738,0.29866183,139649
1,Intermediate,0.4046541,0.33759704,95862
1,Exposed,0.47615293,0.33753097,63350
2,Buried,0.29193747,0.29866186,139649
2,Intermediate,0.4046541,0.33759704,95862
2,Exposed,0.4761527,0.33753103,63350
