epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
96,0.012819,0.017572,0.888689,0.095590,0.117974,0.00055588
97,0.012950,0.009896,0.936936,0.067313,0.088799,0.00054991
98,0.012859,0.009450,0.942142,0.065347,0.085055,0.00054385
99,0.012921,0.013672,0.921575,0.078324,0.099025,0.00053770
100,0.012847,0.023369,0.839812,0.117178,0.141525,0.00053148
101,0.012818,0.017020,0.902153,0.088998,0.110609,0.00052517
102,0.012733,0.010959,0.931816,0.072126,0.092334,0.00051884
103,0.012721,0.010748,0.936838,0.069986,0.088868,0.00051238
104,0.012742,0.042330,0.750452,0.152327,0.176642,0.00050585
105,0.013214,0.013409,0.921303,0.074528,0.099197,0.00049926
106,0.012852,0.010881,0.936173,0.069844,0.089335,0.00049259
107,0.012725,0.009128,0.938759,0.066920,0.087506,0.00048587
108,0.012722,0.010974,0.931007,0.072037,0.092880,0.00047908
109,0.012600,0.017832,0.883004,0.096230,0.120949,0.00047224
110,0.012937,0.009530,0.936389,0.068529,0.089184,0.00046535
111,0.012641,0.015574,0.899647,0.089982,0.112017,0.00045840
112,0.012717,0.019179,0.877321,0.099753,0.123852,0.00045141
113,0.012565,0.011205,0.930879,0.068616,0.092966,0.00044437
114,0.012512,0.038452,0.762324,0.145846,0.172389,0.00043729
115,0.012608,0.010680,0.937533,0.068286,0.088378,0.00043017
116,0.012800,0.016897,0.893818,0.090572,0.115224,0.00042302
117,0.012636,0.011369,0.929095,0.073630,0.094158,0.00041584
118,0.012389,0.038616,0.769469,0.146905,0.169778,0.00040862
119,0.012446,0.008857,0.940762,0.065884,0.086064,0.00040138
120,0.012382,0.009849,0.936432,0.068705,0.089154,0.00039412
121,0.012581,0.009421,0.939271,0.066831,0.087140,0.00038684
122,0.012404,0.022034,0.869065,0.104418,0.127951,0.00037954
123,0.012355,0.010978,0.930871,0.072540,0.092971,0.00037223
124,0.012285,0.008784,0.945580,0.063747,0.082490,0.00036491
125,0.012388,0.010766,0.933598,0.069533,0.091119,0.00035759
126,0.012314,0.009051,0.940417,0.065732,0.086314,0.00035032
127,0.012365,0.010073,0.932680,0.071004,0.091747,0.00034299
128,0.012260,0.030528,0.790069,0.136731,0.162015,0.00033567
129,0.012388,0.019580,0.864789,0.106040,0.130024,0.00032835
130,0.012449,0.011618,0.929688,0.072592,0.093763,0.00032103
131,0.012172,0.009197,0.942229,0.064470,0.084991,0.00031374
132,0.012439,0.009124,0.944396,0.064480,0.083382,0.00030645
133,0.012111,0.010256,0.936213,0.069159,0.089307,0.00029919
134,0.012182,0.009571,0.935476,0.069125,0.089821,0.00029195
135,0.012319,0.009839,0.939851,0.066523,0.086723,0.00028473
136,0.012384,0.025859,0.844079,0.115765,0.139627,0.00027755
137,0.012187,0.010223,0.931873,0.071210,0.092295,0.00027039
138,0.012093,0.013853,0.907280,0.085851,0.107673,0.00026327
139,0.012063,0.009896,0.934488,0.069867,0.090506,0.00025619
140,0.012059,0.013708,0.913332,0.080424,0.104099,0.00024915
141,0.012161,0.013993,0.907625,0.086209,0.107472,0.00024215
142,0.012016,0.011136,0.925863,0.074866,0.096280,0.00023520
143,0.012140,0.009400,0.937283,0.068143,0.088555,0.00022830
144,0.012069,0.009171,0.943304,0.064645,0.084197,0.00022146
145,0.012175,0.008844,0.943429,0.064053,0.084104,0.00021473
146,0.012009,0.013588,0.909940,0.083536,0.106116,0.00020800
147,0.012059,0.008769,0.945254,0.063822,0.082736,0.00020133
148,0.011941,0.009567,0.937942,0.068062,0.088088,0.00019473
149,0.011921,0.013360,0.912011,0.082941,0.104889,0.00018819
150,0.011988,0.009489,0.938138,0.067967,0.087948,0.00018173
151,0.011982,0.013766,0.906548,0.085264,0.108097,0.00017534
152,0.011951,0.011661,0.928191,0.073233,0.094756,0.00016902
153,0.011944,0.008371,0.945174,0.062962,0.082797,0.00016279
154,0.011934,0.011702,0.922151,0.076964,0.098661,0.00015664
155,0.011854,0.008554,0.945049,0.063428,0.082890,0.00015057
156,0.011807,0.011100,0.929479,0.071889,0.093903,0.00014459
157,0.011839,0.009082,0.942436,0.064861,0.084839,0.00013870
158,0.011930,0.011047,0.934178,0.070543,0.090720,0.00013290
159,0.011897,0.010773,0.934086,0.070137,0.090784,0.00012720
160,0.011853,0.009105,0.940015,0.066595,0.086604,0.00012160
161,0.011915,0.010022,0.937953,0.067641,0.088081,0.00011609
162,0.011896,0.009618,0.938613,0.067566,0.087610,0.00011074
163,0.011786,0.009441,0.936529,0.068525,0.089085,0.00010544
164,0.011797,0.008343,0.945905,0.062728,0.082242,0.00010025
165,0.011737,0.008600,0.943891,0.064271,0.083760,0.00009517
166,0.011815,0.009403,0.940305,0.065845,0.086395,0.00009020
167,0.011791,0.009791,0.937296,0.068590,0.088546,0.00008535
168,0.011747,0.008728,0.946606,0.063044,0.081708,0.00008061
169,0.011823,0.008390,0.946598,0.062557,0.081714,0.00007599
170,0.011734,0.008314,0.946377,0.062557,0.081883,0.00007149
171,0.011653,0.008832,0.942244,0.065343,0.084980,0.00006711
172,0.011625,0.008446,0.946381,0.062851,0.081880,0.00006286
173,0.011640,0.008506,0.944204,0.064001,0.083525,0.00005873
174,0.011638,0.008337,0.946854,0.062518,0.081518,0.00005473
175,0.011664,0.008715,0.943195,0.064795,0.084277,0.00005086
176,0.011578,0.008296,0.946654,0.062447,0.081671,0.00004712
177,0.011626,0.008574,0.945378,0.063018,0.082642,0.00004351
178,0.011571,0.008497,0.943943,0.063972,0.083721,0.00004004
179,0.011605,0.008654,0.943596,0.064514,0.083980,0.00003670
180,0.011564,0.008588,0.945162,0.063440,0.082806,0.00003353
181,0.011571,0.008471,0.945611,0.063275,0.082466,0.00003047
182,0.011500,0.008380,0.945136,0.063366,0.082825,0.00002755
183,0.011465,0.008308,0.945757,0.062815,0.082355,0.00002477
184,0.011609,0.008339,0.945618,0.063033,0.082460,0.00002213
185,0.011514,0.008328,0.945555,0.063109,0.082508,0.00001964
186,0.011562,0.008271,0.946289,0.062659,0.081950,0.00001729
187,0.011560,0.008277,0.946222,0.062643,0.082001,0.00001509
188,0.011513,0.008411,0.945745,0.063039,0.082364,0.00001303
189,0.011486,0.008329,0.945800,0.063039,0.082322,0.00001113
190,0.011439,0.008308,0.946004,0.062916,0.082167,0.00000937
191,0.011483,0.008378,0.944959,0.063522,0.082958,0.00000776
192,0.011469,0.008436,0.945024,0.063575,0.082909,0.00000630
193,0.011480,0.008313,0.945820,0.063008,0.082307,0.00000499
194,0.011461,0.008268,0.946087,0.062780,0.082104,0.00000383
195,0.011452,0.008312,0.945847,0.062975,0.082286,0.00000283
196,0.011437,0.008327,0.945673,0.063107,0.082419,0.00000197
197,0.011416,0.008257,0.946049,0.062782,0.082133,0.00000127
198,0.011467,0.008316,0.945752,0.063035,0.082359,0.00000073
199,0.011408,0.008323,0.945806,0.063038,0.082318,0.00000034
200,0.011392,0.008297,0.945831,0.062968,0.082298,0.00000009
