epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
96,0.016500,0.018206,0.860099,0.087917,0.132260,0.00070801
97,0.016555,0.018851,0.854434,0.090564,0.134911,0.00069932
98,0.016439,0.018166,0.860795,0.088298,0.131930,0.00069055
99,0.016462,0.018469,0.860860,0.090914,0.131899,0.00068172
100,0.016464,0.019095,0.854647,0.091973,0.134813,0.00067281
101,0.016467,0.020323,0.844513,0.095944,0.139433,0.00066385
102,0.016466,0.018686,0.855856,0.090544,0.134251,0.00065483
103,0.016535,0.019775,0.846932,0.095233,0.138344,0.00064575
104,0.016368,0.018977,0.853403,0.091818,0.135388,0.00063662
105,0.016512,0.018239,0.860042,0.088581,0.132287,0.00062743
106,0.016393,0.018574,0.857146,0.089351,0.133648,0.00061821
107,0.016534,0.018896,0.854547,0.092665,0.134859,0.00060893
108,0.016384,0.018318,0.860852,0.090929,0.131904,0.00059962
109,0.016423,0.018069,0.861101,0.087461,0.131785,0.00059028
110,0.016432,0.018060,0.861566,0.088263,0.131565,0.00058090
111,0.016575,0.018584,0.858572,0.091583,0.132980,0.00057157
112,0.016445,0.018299,0.862135,0.089627,0.131294,0.00056214
113,0.016404,0.018986,0.853996,0.090243,0.135114,0.00055268
114,0.016413,0.019099,0.852452,0.092572,0.135826,0.00054321
115,0.016289,0.018181,0.861111,0.088642,0.131781,0.00053371
116,0.016430,0.019175,0.854428,0.092562,0.134914,0.00052421
117,0.016306,0.018703,0.858473,0.090820,0.133026,0.00051470
118,0.016349,0.017920,0.864235,0.088491,0.130290,0.00050518
119,0.016302,0.018016,0.862007,0.087510,0.131355,0.00049566
120,0.016317,0.018053,0.862197,0.087998,0.131265,0.00048614
121,0.016402,0.018715,0.855816,0.091299,0.134269,0.00047663
122,0.016493,0.018194,0.859913,0.087766,0.132348,0.00046712
123,0.016233,0.018377,0.858199,0.089161,0.133155,0.00045763
124,0.016338,0.017846,0.864168,0.088345,0.130322,0.00044815
125,0.016262,0.018045,0.862209,0.088915,0.131259,0.00043869
126,0.016291,0.018147,0.862860,0.089652,0.130948,0.00042926
127,0.016274,0.017889,0.863898,0.088108,0.130452,0.00041985
128,0.016275,0.018547,0.856595,0.089243,0.133906,0.00041047
129,0.016301,0.018129,0.860736,0.089013,0.131958,0.00040120
