epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
96,0.016648,0.018389,0.860074,0.090752,0.132272,0.00066243
97,0.016384,0.019302,0.855719,0.093368,0.134314,0.00065460
98,0.016421,0.019963,0.845010,0.094735,0.139210,0.00064669
99,0.016333,0.022769,0.822785,0.105690,0.148857,0.00063870
100,0.016366,0.018213,0.859580,0.088181,0.132505,0.00063065
101,0.016393,0.019152,0.852292,0.090481,0.135900,0.00062252
102,0.016252,0.018802,0.854616,0.090737,0.134827,0.00061433
103,0.016317,0.022952,0.825838,0.107636,0.147569,0.00060607
104,0.016394,0.020834,0.838268,0.096701,0.142205,0.00059775
105,0.016397,0.018406,0.858095,0.088105,0.133204,0.00058938
106,0.016298,0.022466,0.832698,0.104785,0.144633,0.00058095
107,0.016384,0.018516,0.857007,0.088445,0.133713,0.00057247
108,0.016235,0.021284,0.834699,0.097887,0.143766,0.00056395
109,0.016300,0.022689,0.823471,0.107191,0.148568,0.00055538
110,0.016333,0.019152,0.854167,0.091847,0.135035,0.00054677
111,0.016355,0.018960,0.853917,0.090041,0.135150,0.00053812
112,0.016291,0.018206,0.859784,0.087792,0.132409,0.00052944
113,0.016329,0.019021,0.853366,0.090308,0.135405,0.00052073
114,0.016428,0.020159,0.849391,0.096494,0.137228,0.00051206
115,0.016251,0.019272,0.850890,0.093430,0.136544,0.00050330
116,0.016184,0.018033,0.863098,0.088633,0.130835,0.00049458
117,0.016225,0.018133,0.862376,0.090910,0.131179,0.00048578
118,0.016318,0.018150,0.861671,0.088944,0.131515,0.00047696
119,0.016193,0.018236,0.859257,0.088243,0.132657,0.00046814
120,0.016191,0.018266,0.862534,0.090212,0.131104,0.00045931
121,0.016235,0.018552,0.858733,0.090170,0.132904,0.00045047
122,0.016029,0.018054,0.861351,0.087923,0.131667,0.00044164
123,0.016179,0.018647,0.858921,0.093218,0.132816,0.00043281
124,0.016166,0.017995,0.862136,0.087838,0.131293,0.00042398
125,0.016207,0.020117,0.847041,0.096156,0.138295,0.00041517
126,0.016177,0.018664,0.855820,0.090021,0.134267,0.00040636
127,0.016077,0.018966,0.852997,0.089013,0.135576,0.00039758
128,0.016146,0.019618,0.849335,0.095311,0.137254,0.00038881
129,0.016052,0.017976,0.861877,0.087615,0.131417,0.00038007
130,0.016018,0.019137,0.853742,0.091922,0.135231,0.00037136
131,0.016113,0.018291,0.860488,0.090910,0.132076,0.00036267
132,0.016158,0.018161,0.864197,0.090432,0.130309,0.00035402
133,0.016042,0.019226,0.850981,0.092956,0.136502,0.00034541
134,0.016054,0.018049,0.861119,0.087469,0.131777,0.00033684
135,0.016182,0.018008,0.864005,0.088792,0.130401,0.00032831
136,0.016171,0.018107,0.863016,0.089481,0.130874,0.00031983
137,0.016192,0.018071,0.861249,0.088812,0.131715,0.00031139
138,0.015999,0.018828,0.854782,0.092585,0.134750,0.00030301
139,0.016052,0.018260,0.859262,0.088317,0.132655,0.00029469
140,0.015960,0.018126,0.860790,0.087955,0.131933,0.00028643
141,0.015977,0.018117,0.860370,0.088271,0.132132,0.00027823
142,0.015962,0.018667,0.857017,0.092980,0.133709,0.00027010
143,0.015977,0.017957,0.862169,0.087557,0.131278,0.00026203
144,0.015980,0.017815,0.863280,0.087701,0.130748,0.00025404
145,0.015940,0.017882,0.863349,0.087539,0.130715,0.00024613
146,0.015903,0.018364,0.858602,0.089920,0.132966,0.00023829
147,0.015972,0.017741,0.864903,0.088283,0.129969,0.00023059
148,0.015914,0.017925,0.864260,0.089171,0.130278,0.00022292
149,0.015966,0.018075,0.861831,0.089435,0.131439,0.00021534
150,0.015893,0.017776,0.864710,0.088534,0.130062,0.00020785
151,0.015848,0.017980,0.863923,0.088608,0.130440,0.00020045
152,0.015888,0.017923,0.862213,0.087499,0.131257,0.00019314
153,0.015788,0.017785,0.864607,0.088015,0.130111,0.00018594
154,0.015924,0.017901,0.863213,0.088048,0.130780,0.00017883
155,0.015852,0.017875,0.864175,0.088310,0.130319,0.00017183
156,0.015848,0.017932,0.863559,0.088373,0.130614,0.00016500
157,0.015828,0.017751,0.865176,0.087760,0.129838,0.00015821
158,0.015860,0.017921,0.863314,0.088369,0.130731,0.00015154
159,0.015796,0.017714,0.865277,0.087349,0.129789,0.00014499
160,0.015747,0.018037,0.862531,0.088472,0.131105,0.00013855
161,0.015864,0.017943,0.862535,0.089104,0.131103,0.00013223
162,0.015848,0.018868,0.856286,0.091454,0.134050,0.00012604
163,0.015913,0.018290,0.859354,0.088272,0.132612,0.00011997
164,0.015798,0.017797,0.865960,0.088570,0.129460,0.00011403
165,0.015817,0.018250,0.860477,0.089072,0.132081,0.00010822
166,0.015815,0.017761,0.865503,0.088977,0.129680,0.00010253
167,0.015715,0.017759,0.863921,0.087511,0.130441,0.00009699
168,0.015733,0.017634,0.866278,0.087722,0.129306,0.00009158
169,0.015702,0.018246,0.861407,0.089529,0.131640,0.00008630
170,0.015743,0.017780,0.863763,0.087534,0.130517,0.00008121
171,0.015796,0.017879,0.863211,0.087392,0.130780,0.00007622
172,0.015754,0.017671,0.865888,0.088147,0.129494,0.00007137
173,0.015668,0.017974,0.862244,0.087753,0.131242,0.00006667
174,0.015724,0.017636,0.865097,0.087530,0.129876,0.00006211
175,0.015694,0.017633,0.865090,0.087295,0.129879,0.00005771
176,0.015605,0.018024,0.863435,0.089197,0.130674,0.00005346
177,0.015719,0.017523,0.866293,0.087196,0.129299,0.00004936
178,0.015747,0.017826,0.863670,0.087640,0.130561,0.00004541
179,0.015624,0.017790,0.864398,0.087716,0.130212,0.00004162
180,0.015665,0.017595,0.865592,0.087452,0.129637,0.00003799
