epoch,train_loss,val_loss,val_r2,val_mae,val_rmse,learning_rate
96,0.069164,0.066585,0.631321,0.166181,0.214705,0.00055593
97,0.068977,0.064807,0.636166,0.163965,0.213289,0.00054996
98,0.069197,0.076305,0.561223,0.179035,0.234229,0.00054390
99,0.069060,0.069725,0.590429,0.172288,0.226299,0.00053776
100,0.068640,0.065109,0.633927,0.164656,0.213945,0.00053153
101,0.068799,0.066546,0.614009,0.167285,0.219688,0.00052522
102,0.068857,0.066227,0.623800,0.166225,0.216884,0.00051884
103,0.068611,0.067411,0.607544,0.168660,0.221520,0.00051238
104,0.068322,0.065434,0.635219,0.164118,0.213567,0.00050585
105,0.068321,0.068578,0.621254,0.166878,0.217617,0.00049926
106,0.068282,0.065332,0.633290,0.164050,0.214131,0.00049259
107,0.068196,0.065153,0.632205,0.164935,0.214447,0.00048587
108,0.068145,0.074759,0.569991,0.176679,0.231876,0.00047908
109,0.068388,0.066163,0.637114,0.164085,0.213011,0.00047224
110,0.068305,0.065079,0.632904,0.164377,0.214243,0.00046535
111,0.068235,0.067185,0.629466,0.166836,0.215244,0.00045840
112,0.067758,0.064968,0.632697,0.164393,0.214304,0.00045141
113,0.067884,0.064480,0.634784,0.163243,0.213694,0.00044437
114,0.067801,0.064395,0.628505,0.163912,0.215523,0.00043729
115,0.067725,0.063951,0.649417,0.161908,0.209369,0.00043017
116,0.067787,0.066151,0.622730,0.166186,0.217192,0.00042308
117,0.067667,0.068634,0.611142,0.168572,0.220502,0.00041596
118,0.067964,0.065400,0.626540,0.165545,0.216093,0.00040875
119,0.067378,0.063645,0.639879,0.162285,0.212198,0.00040151
120,0.067424,0.065837,0.623856,0.165490,0.216868,0.00039425
121,0.067152,0.066536,0.615848,0.167725,0.219164,0.00038697
122,0.067659,0.063961,0.640282,0.162392,0.212079,0.00037967
123,0.067364,0.064944,0.637697,0.163639,0.212840,0.00037236
124,0.067057,0.064840,0.636340,0.164355,0.213239,0.00036504
125,0.066801,0.064287,0.640309,0.163348,0.212072,0.00035772
126,0.067507,0.064378,0.627501,0.164057,0.215814,0.00035039
127,0.067216,0.063851,0.639500,0.162405,0.212310,0.00034306
128,0.066553,0.064292,0.633533,0.163150,0.214060,0.00033573
129,0.066757,0.063554,0.635388,0.162637,0.213517,0.00032841
130,0.066789,0.065153,0.635277,0.163737,0.213550,0.00032110
131,0.066964,0.064008,0.626800,0.164250,0.216017,0.00031380
132,0.066762,0.064770,0.618405,0.165561,0.218433,0.00030652
133,0.066703,0.065133,0.622077,0.165280,0.217380,0.00029925
134,0.066436,0.064709,0.628859,0.164060,0.215421,0.00029201
135,0.066693,0.063895,0.630200,0.163936,0.215031,0.00028480
136,0.066417,0.064142,0.635396,0.163215,0.213515,0.00027761
137,0.066260,0.066609,0.629331,0.166133,0.215284,0.00027045
138,0.066753,0.063677,0.643328,0.162340,0.211180,0.00026333
139,0.066197,0.064331,0.639679,0.162648,0.212257,0.00025625
140,0.066290,0.066276,0.628701,0.166110,0.215467,0.00024921
141,0.066190,0.066647,0.615535,0.167837,0.219253,0.00024221
142,0.066059,0.062544,0.650038,0.160686,0.209184,0.00023526
143,0.065864,0.063964,0.628920,0.164248,0.215403,0.00022836
144,0.065903,0.064612,0.621272,0.164811,0.217611,0.00022152
145,0.065804,0.063348,0.635689,0.163057,0.213429,0.00021473
146,0.065782,0.062957,0.648815,0.160952,0.209549,0.00020800
147,0.065734,0.063086,0.643487,0.161426,0.211133,0.00020133
148,0.065824,0.063580,0.634912,0.162601,0.213657,0.00019473
149,0.065780,0.063192,0.639355,0.162111,0.212353,0.00018819
150,0.065569,0.063299,0.644941,0.161626,0.210702,0.00018173
151,0.065291,0.063583,0.632780,0.163181,0.214280,0.00017534
152,0.065189,0.062479,0.643254,0.160863,0.211202,0.00016902
153,0.065038,0.063025,0.643922,0.161468,0.211004,0.00016284
154,0.065051,0.062606,0.649676,0.160768,0.209292,0.00015669
155,0.064954,0.062551,0.642622,0.160800,0.211389,0.00015062
156,0.064796,0.063039,0.633143,0.162909,0.214174,0.00014464
157,0.064749,0.062940,0.648100,0.161109,0.209762,0.00013875
158,0.064753,0.062959,0.640495,0.161827,0.212017,0.00013295
159,0.064817,0.062071,0.646284,0.160314,0.210303,0.00012725
160,0.064581,0.062290,0.648530,0.160426,0.209634,0.00012165
161,0.064638,0.063107,0.649374,0.160648,0.209382,0.00011614
162,0.064573,0.063468,0.638985,0.162900,0.212462,0.00011074
163,0.064638,0.062495,0.641967,0.161130,0.211582,0.00010544
164,0.064406,0.061988,0.650914,0.159999,0.208922,0.00010025
165,0.064335,0.061790,0.646677,0.160160,0.210186,0.00009517
166,0.064241,0.062816,0.638072,0.161835,0.212730,0.00009020
